E:\PetAI\Project\.venv\Scripts\python.exe E:\PetAI\Project\cleanbot\capture_img_client.py
灰度图像接收客户端
服务器: 192.168.4.1:5000
----------------------------------------
尝试连接到 192.168.4.1:5000
连接成功!
图像将保存到: FRAME_QQVGA
开始接收灰度图像...
按 Ctrl+C 停止接收

  -> 保存第 1 帧: FRAME_QQVGA/frame_000001_20260213_120644.png (4.1 KB)
  -> 保存第 2 帧: FRAME_QQVGA/frame_000002_20260213_120644.png (13.5 KB)
  -> 保存第 3 帧: FRAME_QQVGA/frame_000003_20260213_120644.png (13.6 KB)
  -> 保存第 4 帧: FRAME_QQVGA/frame_000004_20260213_120644.png (13.5 KB)
  -> 保存第 5 帧: FRAME_QQVGA/frame_000005_20260213_120644.png (13.5 KB)
[12:06:45] 接收: 14帧 | FPS:  14 | 已保存: 13张 | 速率:  239.1 KB/s
[12:15:58] 接收: 6746帧 | FPS:  13 | 已保存: 6745张 | 速率:  228.2 KB/s
[12:15:59] 接收: 6760帧 | FPS:  14 | 已保存: 6759张 | 速率:  228.2 KB/s
[12:16:00] 接收: 6772帧 | FPS:  12 | 已保存: 6771张 | 速率:  228.2 KB/s
[12:16:01] 接收: 6785帧 | FPS:  13 | 已保存: 6784张 | 速率:  228.2 KB/s
[12:16:02] 接收: 6797帧 | FPS:  12 | 已保存: 6796张 | 速率:  228.2 KB/s
[12:16:03] 接收: 6810帧 | FPS:  13 | 已保存: 6809张 | 速率:  228.2 KB/s
[12:16:04] 接收: 6823帧 | FPS:  13 | 已保存: 6822张 | 速率:  228.2 KB/s
[12:16:05] 接收: 6835帧 | FPS:  12 | 已保存: 6834张 | 速率:  228.2 KB/s
[12:16:06] 接收: 6848帧 | FPS:  13 | 已保存: 6847张 | 速率:  228.2 KB/s
[12:16:07] 接收: 6860帧 | FPS:  12 | 已保存: 6859张 | 速率:  228.2 KB/s
[12:16:08] 接收: 6874帧 | FPS:  14 | 已保存: 6873张 | 速率:  228.2 KB/s
[12:16:09] 接收: 6887帧 | FPS:  13 | 已保存: 6886张 | 速率:  228.2 KB/s
[12:16:10] 接收: 6900帧 | FPS:  13 | 已保存: 6899张 | 速率:  228.3 KB/s
[12:16:11] 接收: 6912帧 | FPS:  12 | 已保存: 6911张 | 速率:  228.2 KB/s
[12:16:13] 接收: 6924帧 | FPS:  12 | 已保存: 6923张 | 速率:  228.2 KB/s
[12:16:14] 接收: 6938帧 | FPS:  14 | 已保存: 6937张 | 速率:  228.2 KB/s
[12:16:15] 接收: 6949帧 | FPS:  11 | 已保存: 6948张 | 速率:  228.2 KB/s
[12:16:16] 接收: 6962帧 | FPS:  13 | 已保存: 6961张 | 速率:  228.2 KB/s
[12:16:17] 接收: 6975帧 | FPS:  13 | 已保存: 6974张 | 速率:  228.2 KB/s
[12:16:18] 接收: 6985帧 | FPS:  10 | 已保存: 6984张 | 速率:  228.0 KB/s
[12:16:19] 接收: 6997帧 | FPS:  12 | 已保存: 6996张 | 速率:  228.0 KB/s
[12:16:20] 接收: 7009帧 | FPS:  12 | 已保存: 7008张 | 速率:  227.9 KB/s
[12:16:21] 接收: 7023帧 | FPS:  14 | 已保存: 7022张 | 速率:  228.0 KB/s
[12:16:22] 接收: 7036帧 | FPS:  13 | 已保存: 7035张 | 速率:  228.0 KB/s
[12:16:23] 接收: 7049帧 | FPS:  13 | 已保存: 7048张 | 速率:  228.0 KB/s
[12:16:24] 接收: 7061帧 | FPS:  12 | 已保存: 7060张 | 速率:  227.9 KB/s
[12:16:25] 接收: 7072帧 | FPS:  11 | 已保存: 7071张 | 速率:  227.9 KB/s
[12:16:27] 接收: 7081帧 | FPS:   9 | 已保存: 7080张 | 速率:  227.8 KB/s
[12:16:28] 接收: 7092帧 | FPS:  11 | 已保存: 7091张 | 速率:  227.7 KB/s
[12:16:29] 接收: 7105帧 | FPS:  13 | 已保存: 7104张 | 速率:  227.7 KB/s
[12:16:30] 接收: 7117帧 | FPS:  12 | 已保存: 7116张 | 速率:  227.7 KB/s
[12:16:31] 接收: 7128帧 | FPS:  11 | 已保存: 7127张 | 速率:  227.7 KB/s
[12:16:32] 接收: 7141帧 | FPS:  13 | 已保存: 7140张 | 速率:  227.7 KB/s
[12:16:33] 接收: 7155帧 | FPS:  14 | 已保存: 7154张 | 速率:  227.7 KB/s
[12:16:34] 接收: 7168帧 | FPS:  13 | 已保存: 7167张 | 速率:  227.7 KB/s
[12:16:35] 接收: 7181帧 | FPS:  13 | 已保存: 7180张 | 速率:  227.7 KB/s
[12:16:36] 接收: 7194帧 | FPS:  13 | 已保存: 7193张 | 速率:  227.7 KB/s
[12:16:37] 接收: 7206帧 | FPS:  12 | 已保存: 7205张 | 速率:  227.7 KB/s
[12:16:38] 接收: 7218帧 | FPS:  12 | 已保存: 7217张 | 速率:  227.7 KB/s
[12:16:39] 接收: 7230帧 | FPS:  12 | 已保存: 7229张 | 速率:  227.7 KB/s
[12:16:40] 接收: 7243帧 | FPS:  13 | 已保存: 7242张 | 速率:  227.7 KB/s
[12:16:41] 接收: 7256帧 | FPS:  13 | 已保存: 7255张 | 速率:  227.7 KB/s
[12:16:42] 接收: 7269帧 | FPS:  13 | 已保存: 7268张 | 速率:  227.7 KB/s
[12:16:43] 接收: 7281帧 | FPS:  12 | 已保存: 7280张 | 速率:  227.7 KB/s
[12:16:44] 接收: 7294帧 | FPS:  13 | 已保存: 7293张 | 速率:  227.7 KB/s
[12:16:45] 接收: 7307帧 | FPS:  13 | 已保存: 7306张 | 速率:  227.7 KB/s
[12:16:46] 接收: 7319帧 | FPS:  12 | 已保存: 7318张 | 速率:  227.7 KB/s
[12:16:47] 接收: 7332帧 | FPS:  13 | 已保存: 7331张 | 速率:  227.8 KB/s
[12:16:48] 接收: 7341帧 | FPS:   9 | 已保存: 7340张 | 速率:  227.7 KB/s
[12:16:49] 接收: 7354帧 | FPS:  13 | 已保存: 7353张 | 速率:  227.7 KB/s
[12:16:50] 接收: 7366帧 | FPS:  12 | 已保存: 7365张 | 速率:  227.7 KB/s
[12:16:51] 接收: 7380帧 | FPS:  14 | 已保存: 7379张 | 速率:  227.7 KB/s
[12:16:52] 接收: 7393帧 | FPS:  13 | 已保存: 7392张 | 速率:  227.7 KB/s
[12:16:54] 接收: 7406帧 | FPS:  13 | 已保存: 7405张 | 速率:  227.7 KB/s
[12:16:55] 接收: 7418帧 | FPS:  12 | 已保存: 7417张 | 速率:  227.7 KB/s
[12:16:56] 接收: 7432帧 | FPS:  14 | 已保存: 7431张 | 速率:  227.7 KB/s
[12:16:57] 接收: 7444帧 | FPS:  12 | 已保存: 7443张 | 速率:  227.7 KB/s
[12:16:58] 接收: 7457帧 | FPS:  13 | 已保存: 7456张 | 速率:  227.7 KB/s
[12:16:59] 接收: 7470帧 | FPS:  13 | 已保存: 7469张 | 速率:  227.7 KB/s
[12:17:00] 接收: 7483帧 | FPS:  13 | 已保存: 7482张 | 速率:  227.7 KB/s
[12:17:01] 接收: 7496帧 | FPS:  13 | 已保存: 7495张 | 速率:  227.7 KB/s
[12:17:02] 接收: 7508帧 | FPS:  12 | 已保存: 7507张 | 速率:  227.7 KB/s
[12:17:03] 接收: 7520帧 | FPS:  12 | 已保存: 7519张 | 速率:  227.7 KB/s
[12:17:04] 接收: 7532帧 | FPS:  12 | 已保存: 7531张 | 速率:  227.7 KB/s
[12:17:05] 接收: 7545帧 | FPS:  13 | 已保存: 7544张 | 速率:  227.7 KB/s
[12:17:06] 接收: 7558帧 | FPS:  13 | 已保存: 7557张 | 速率:  227.7 KB/s
[12:17:07] 接收: 7571帧 | FPS:  13 | 已保存: 7570张 | 速率:  227.7 KB/s
[12:17:08] 接收: 7583帧 | FPS:  12 | 已保存: 7582张 | 速率:  227.7 KB/s
[12:17:09] 接收: 7595帧 | FPS:  12 | 已保存: 7594张 | 速率:  227.7 KB/s
[12:17:10] 接收: 7608帧 | FPS:  13 | 已保存: 7607张 | 速率:  227.7 KB/s
[12:17:11] 接收: 7622帧 | FPS:  14 | 已保存: 7621张 | 速率:  227.7 KB/s
[12:17:12] 接收: 7634帧 | FPS:  12 | 已保存: 7633张 | 速率:  227.7 KB/s
[12:17:13] 接收: 7648帧 | FPS:  14 | 已保存: 7647张 | 速率:  227.7 KB/s
[12:17:14] 接收: 7658帧 | FPS:  10 | 已保存: 7657张 | 速率:  227.6 KB/s
[12:17:16] 接收: 7670帧 | FPS:  12 | 已保存: 7669张 | 速率:  227.6 KB/s
[12:17:17] 接收: 7683帧 | FPS:  13 | 已保存: 7682张 | 速率:  227.6 KB/s
[12:17:18] 接收: 7692帧 | FPS:   9 | 已保存: 7691张 | 速率:  227.5 KB/s
[12:17:19] 接收: 7705帧 | FPS:  13 | 已保存: 7704张 | 速率:  227.5 KB/s
[12:17:20] 接收: 7717帧 | FPS:  12 | 已保存: 7716张 | 速率:  227.4 KB/s
[12:17:21] 接收: 7730帧 | FPS:  13 | 已保存: 7729张 | 速率:  227.4 KB/s
[12:17:22] 接收: 7744帧 | FPS:  14 | 已保存: 7743张 | 速率:  227.5 KB/s
[12:17:23] 接收: 7756帧 | FPS:  12 | 已保存: 7755张 | 速率:  227.4 KB/s
[12:17:24] 接收: 7767帧 | FPS:  11 | 已保存: 7766张 | 速率:  227.4 KB/s
[12:17:25] 接收: 7780帧 | FPS:  13 | 已保存: 7779张 | 速率:  227.4 KB/s
[12:17:26] 接收: 7793帧 | FPS:  13 | 已保存: 7792张 | 速率:  227.4 KB/s
[12:17:27] 接收: 7805帧 | FPS:  12 | 已保存: 7804张 | 速率:  227.4 KB/s
[12:17:28] 接收: 7818帧 | FPS:  13 | 已保存: 7817张 | 速率:  227.4 KB/s
[12:17:29] 接收: 7830帧 | FPS:  12 | 已保存: 7829张 | 速率:  227.4 KB/s
[12:17:30] 接收: 7843帧 | FPS:  13 | 已保存: 7842张 | 速率:  227.4 KB/s
[12:17:31] 接收: 7856帧 | FPS:  13 | 已保存: 7855张 | 速率:  227.4 KB/s
[12:17:32] 接收: 7869帧 | FPS:  13 | 已保存: 7868张 | 速率:  227.4 KB/s
[12:17:33] 接收: 7882帧 | FPS:  13 | 已保存: 7881张 | 速率:  227.4 KB/s
[12:17:34] 接收: 7893帧 | FPS:  11 | 已保存: 7892张 | 速率:  227.4 KB/s
[12:17:36] 接收: 7904帧 | FPS:  11 | 已保存: 7903张 | 速率:  227.3 KB/s
[12:17:37] 接收: 7917帧 | FPS:  13 | 已保存: 7916张 | 速率:  227.3 KB/s
[12:17:38] 接收: 7930帧 | FPS:  13 | 已保存: 7929张 | 速率:  227.4 KB/s
[12:17:39] 接收: 7942帧 | FPS:  12 | 已保存: 7941张 | 速率:  227.3 KB/s
[12:17:40] 接收: 7955帧 | FPS:  13 | 已保存: 7954张 | 速率:  227.3 KB/s
[12:17:41] 接收: 7966帧 | FPS:  11 | 已保存: 7965张 | 速率:  227.3 KB/s
[12:17:42] 接收: 7978帧 | FPS:  12 | 已保存: 7977张 | 速率:  227.3 KB/s
[12:17:43] 接收: 7992帧 | FPS:  14 | 已保存: 7991张 | 速率:  227.3 KB/s
[12:17:44] 接收: 8004帧 | FPS:  12 | 已保存: 8003张 | 速率:  227.3 KB/s
[12:17:45] 接收: 8015帧 | FPS:  11 | 已保存: 8014张 | 速率:  227.3 KB/s
[12:17:46] 接收: 8028帧 | FPS:  13 | 已保存: 8027张 | 速率:  227.3 KB/s
[12:17:47] 接收: 8041帧 | FPS:  13 | 已保存: 8040张 | 速率:  227.3 KB/s
[12:17:48] 接收: 8054帧 | FPS:  13 | 已保存: 8053张 | 速率:  227.3 KB/s
[12:17:49] 接收: 8067帧 | FPS:  13 | 已保存: 8066张 | 速率:  227.3 KB/s
[12:17:50] 接收: 8080帧 | FPS:  13 | 已保存: 8079张 | 速率:  227.3 KB/s
[12:17:51] 接收: 8092帧 | FPS:  12 | 已保存: 8091张 | 速率:  227.3 KB/s
[12:17:52] 接收: 8104帧 | FPS:  12 | 已保存: 8103张 | 速率:  227.3 KB/s
[12:17:53] 接收: 8117帧 | FPS:  13 | 已保存: 8116张 | 速率:  227.3 KB/s
[12:17:54] 接收: 8130帧 | FPS:  13 | 已保存: 8129张 | 速率:  227.3 KB/s
[12:17:55] 接收: 8143帧 | FPS:  13 | 已保存: 8142张 | 速率:  227.3 KB/s
[12:17:56] 接收: 8156帧 | FPS:  13 | 已保存: 8155张 | 速率:  227.3 KB/s
[12:17:57] 接收: 8169帧 | FPS:  13 | 已保存: 8168张 | 速率:  227.3 KB/s
[12:17:58] 接收: 8182帧 | FPS:  13 | 已保存: 8181张 | 速率:  227.3 KB/s
[12:18:00] 接收: 8195帧 | FPS:  13 | 已保存: 8194张 | 速率:  227.3 KB/s
[12:18:01] 接收: 8207帧 | FPS:  12 | 已保存: 8206张 | 速率:  227.3 KB/s
[12:18:02] 接收: 8220帧 | FPS:  13 | 已保存: 8219张 | 速率:  227.3 KB/s
[12:18:03] 接收: 8233帧 | FPS:  13 | 已保存: 8232张 | 速率:  227.4 KB/s
[12:18:04] 接收: 8246帧 | FPS:  13 | 已保存: 8245张 | 速率:  227.4 KB/s
[12:18:05] 接收: 8259帧 | FPS:  13 | 已保存: 8258张 | 速率:  227.4 KB/s
[12:18:06] 接收: 8271帧 | FPS:  12 | 已保存: 8270张 | 速率:  227.4 KB/s
[12:18:07] 接收: 8285帧 | FPS:  14 | 已保存: 8284张 | 速率:  227.4 KB/s
[12:18:08] 接收: 8297帧 | FPS:  12 | 已保存: 8296张 | 速率:  227.4 KB/s
[12:18:09] 接收: 8310帧 | FPS:  13 | 已保存: 8309张 | 速率:  227.4 KB/s
[12:18:10] 接收: 8323帧 | FPS:  13 | 已保存: 8322张 | 速率:  227.4 KB/s
[12:18:11] 接收: 8336帧 | FPS:  13 | 已保存: 8335张 | 速率:  227.4 KB/s
[12:18:12] 接收: 8350帧 | FPS:  14 | 已保存: 8349张 | 速率:  227.4 KB/s
[12:18:13] 接收: 8362帧 | FPS:  12 | 已保存: 8361张 | 速率:  227.4 KB/s
[12:18:14] 接收: 8375帧 | FPS:  13 | 已保存: 8374张 | 速率:  227.4 KB/s
[12:18:15] 接收: 8387帧 | FPS:  12 | 已保存: 8386张 | 速率:  227.4 KB/s
[12:18:16] 接收: 8400帧 | FPS:  13 | 已保存: 8399张 | 速率:  227.4 KB/s
[12:18:17] 接收: 8413帧 | FPS:  13 | 已保存: 8412张 | 速率:  227.4 KB/s
[12:18:18] 接收: 8425帧 | FPS:  12 | 已保存: 8424张 | 速率:  227.4 KB/s
[12:18:20] 接收: 8439帧 | FPS:  14 | 已保存: 8438张 | 速率:  227.4 KB/s
[12:18:21] 接收: 8452帧 | FPS:  13 | 已保存: 8451张 | 速率:  227.4 KB/s
[12:18:22] 接收: 8465帧 | FPS:  13 | 已保存: 8464张 | 速率:  227.4 KB/s
[12:18:23] 接收: 8478帧 | FPS:  13 | 已保存: 8477张 | 速率:  227.4 KB/s
[12:18:24] 接收: 8491帧 | FPS:  13 | 已保存: 8490张 | 速率:  227.4 KB/s
[12:18:25] 接收: 8503帧 | FPS:  12 | 已保存: 8502张 | 速率:  227.4 KB/s
[12:18:26] 接收: 8515帧 | FPS:  12 | 已保存: 8514张 | 速率:  227.4 KB/s
[12:18:27] 接收: 8527帧 | FPS:  12 | 已保存: 8526张 | 速率:  227.4 KB/s
[12:18:28] 接收: 8538帧 | FPS:  11 | 已保存: 8537张 | 速率:  227.3 KB/s
[12:18:29] 接收: 8551帧 | FPS:  13 | 已保存: 8550张 | 速率:  227.4 KB/s
[12:18:30] 接收: 8564帧 | FPS:  13 | 已保存: 8563张 | 速率:  227.4 KB/s
[12:18:31] 接收: 8577帧 | FPS:  13 | 已保存: 8576张 | 速率:  227.4 KB/s
[12:18:32] 接收: 8590帧 | FPS:  13 | 已保存: 8589张 | 速率:  227.4 KB/s
[12:18:33] 接收: 8603帧 | FPS:  13 | 已保存: 8602张 | 速率:  227.4 KB/s
[12:18:34] 接收: 8615帧 | FPS:  12 | 已保存: 8614张 | 速率:  227.4 KB/s
[12:18:35] 接收: 8628帧 | FPS:  13 | 已保存: 8627张 | 速率:  227.4 KB/s
[12:18:36] 接收: 8641帧 | FPS:  13 | 已保存: 8640张 | 速率:  227.4 KB/s
[12:18:37] 接收: 8654帧 | FPS:  13 | 已保存: 8653张 | 速率:  227.4 KB/s
[12:18:38] 接收: 8666帧 | FPS:  12 | 已保存: 8665张 | 速率:  227.4 KB/s
[12:18:39] 接收: 8679帧 | FPS:  13 | 已保存: 8678张 | 速率:  227.4 KB/s
[12:18:40] 接收: 8693帧 | FPS:  14 | 已保存: 8692张 | 速率:  227.4 KB/s
[12:18:41] 接收: 8704帧 | FPS:  11 | 已保存: 8703张 | 速率:  227.4 KB/s
[12:18:42] 接收: 8717帧 | FPS:  13 | 已保存: 8716张 | 速率:  227.4 KB/s
[12:18:43] 接收: 8730帧 | FPS:  13 | 已保存: 8729张 | 速率:  227.4 KB/s
[12:18:44] 接收: 8743帧 | FPS:  13 | 已保存: 8742张 | 速率:  227.4 KB/s
[12:18:45] 接收: 8756帧 | FPS:  13 | 已保存: 8755张 | 速率:  227.5 KB/s
[12:18:46] 接收: 8769帧 | FPS:  13 | 已保存: 8768张 | 速率:  227.5 KB/s
[12:18:47] 接收: 8782帧 | FPS:  13 | 已保存: 8781张 | 速率:  227.5 KB/s
[12:18:49] 接收: 8794帧 | FPS:  12 | 已保存: 8793张 | 速率:  227.5 KB/s
[12:18:50] 接收: 8807帧 | FPS:  13 | 已保存: 8806张 | 速率:  227.5 KB/s
[12:18:51] 接收: 8818帧 | FPS:  11 | 已保存: 8817张 | 速率:  227.4 KB/s
[12:18:52] 接收: 8831帧 | FPS:  13 | 已保存: 8830张 | 速率:  227.4 KB/s
[12:18:53] 接收: 8844帧 | FPS:  13 | 已保存: 8843张 | 速率:  227.5 KB/s
[12:18:54] 接收: 8857帧 | FPS:  13 | 已保存: 8856张 | 速率:  227.5 KB/s
[12:18:55] 接收: 8870帧 | FPS:  13 | 已保存: 8869张 | 速率:  227.5 KB/s
[12:18:56] 接收: 8882帧 | FPS:  12 | 已保存: 8881张 | 速率:  227.5 KB/s
[12:18:57] 接收: 8894帧 | FPS:  12 | 已保存: 8893张 | 速率:  227.5 KB/s
[12:18:58] 接收: 8907帧 | FPS:  13 | 已保存: 8906张 | 速率:  227.5 KB/s
[12:18:59] 接收: 8920帧 | FPS:  13 | 已保存: 8919张 | 速率:  227.5 KB/s
[12:19:00] 接收: 8933帧 | FPS:  13 | 已保存: 8932张 | 速率:  227.5 KB/s
[12:19:01] 接收: 8947帧 | FPS:  14 | 已保存: 8946张 | 速率:  227.5 KB/s
[12:19:02] 接收: 8961帧 | FPS:  14 | 已保存: 8960张 | 速率:  227.5 KB/s
[12:19:03] 接收: 8974帧 | FPS:  13 | 已保存: 8973张 | 速率:  227.5 KB/s
[12:19:04] 接收: 8987帧 | FPS:  13 | 已保存: 8986张 | 速率:  227.5 KB/s
[12:19:05] 接收: 8999帧 | FPS:  12 | 已保存: 8998张 | 速率:  227.5 KB/s
[12:19:06] 接收: 9012帧 | FPS:  13 | 已保存: 9011张 | 速率:  227.6 KB/s
[12:19:07] 接收: 9026帧 | FPS:  14 | 已保存: 9025张 | 速率:  227.6 KB/s
[12:19:08] 接收: 9039帧 | FPS:  13 | 已保存: 9038张 | 速率:  227.6 KB/s
[12:19:09] 接收: 9052帧 | FPS:  13 | 已保存: 9051张 | 速率:  227.6 KB/s
[12:19:10] 接收: 9064帧 | FPS:  12 | 已保存: 9063张 | 速率:  227.5 KB/s
[12:19:12] 接收: 9077帧 | FPS:  13 | 已保存: 9076张 | 速率:  227.6 KB/s
[12:19:13] 接收: 9090帧 | FPS:  13 | 已保存: 9089张 | 速率:  227.6 KB/s
[12:19:14] 接收: 9103帧 | FPS:  13 | 已保存: 9102张 | 速率:  227.6 KB/s
[12:19:15] 接收: 9116帧 | FPS:  13 | 已保存: 9115张 | 速率:  227.6 KB/s
[12:19:16] 接收: 9130帧 | FPS:  14 | 已保存: 9129张 | 速率:  227.6 KB/s
[12:19:17] 接收: 9143帧 | FPS:  13 | 已保存: 9142张 | 速率:  227.6 KB/s
[12:19:18] 接收: 9156帧 | FPS:  13 | 已保存: 9155张 | 速率:  227.6 KB/s
[12:19:19] 接收: 9169帧 | FPS:  13 | 已保存: 9168张 | 速率:  227.6 KB/s
[12:19:20] 接收: 9182帧 | FPS:  13 | 已保存: 9181张 | 速率:  227.6 KB/s
[12:19:21] 接收: 9195帧 | FPS:  13 | 已保存: 9194张 | 速率:  227.6 KB/s
[12:19:22] 接收: 9208帧 | FPS:  13 | 已保存: 9207张 | 速率:  227.6 KB/s
[12:19:23] 接收: 9221帧 | FPS:  13 | 已保存: 9220张 | 速率:  227.7 KB/s
[12:19:24] 接收: 9234帧 | FPS:  13 | 已保存: 9233张 | 速率:  227.7 KB/s
[12:19:25] 接收: 9247帧 | FPS:  13 | 已保存: 9246张 | 速率:  227.7 KB/s
[12:19:26] 接收: 9260帧 | FPS:  13 | 已保存: 9259张 | 速率:  227.7 KB/s
[12:19:27] 接收: 9273帧 | FPS:  13 | 已保存: 9272张 | 速率:  227.7 KB/s
[12:19:28] 接收: 9286帧 | FPS:  13 | 已保存: 9285张 | 速率:  227.7 KB/s
[12:19:29] 接收: 9299帧 | FPS:  13 | 已保存: 9298张 | 速率:  227.7 KB/s
[12:19:30] 接收: 9310帧 | FPS:  11 | 已保存: 9309张 | 速率:  227.7 KB/s
[12:19:31] 接收: 9322帧 | FPS:  12 | 已保存: 9321张 | 速率:  227.6 KB/s
[12:19:32] 接收: 9336帧 | FPS:  14 | 已保存: 9335张 | 速率:  227.7 KB/s
[12:19:34] 接收: 9344帧 | FPS:   8 | 已保存: 9343张 | 速率:  227.5 KB/s
[12:19:35] 接收: 9352帧 | FPS:   8 | 已保存: 9351张 | 速率:  227.3 KB/s
接收超时，剩余 844 字节
图像数据接收不完整，重新同步...
尝试重新连接...
尝试连接到 192.168.4.1:5000
连接成功!
[12:19:38] 接收: 9360帧 | FPS:   8 | 已保存: 9359张 | 速率:  226.5 KB/s
[12:19:39] 接收: 9368帧 | FPS:   8 | 已保存: 9367张 | 速率:  226.4 KB/s
[12:19:40] 接收: 9376帧 | FPS:   8 | 已保存: 9375张 | 速率:  226.3 KB/s
[12:19:42] 接收: 9384帧 | FPS:   8 | 已保存: 9383张 | 速率:  226.2 KB/s
[12:19:43] 接收: 9391帧 | FPS:   7 | 已保存: 9390张 | 速率:  226.0 KB/s
[12:19:44] 接收: 9402帧 | FPS:  11 | 已保存: 9401张 | 速率:  226.0 KB/s
[12:19:45] 接收: 9408帧 | FPS:   6 | 已保存: 9407张 | 速率:  225.9 KB/s
[12:19:46] 接收: 9411帧 | FPS:   3 | 已保存: 9410张 | 速率:  225.6 KB/s
[12:19:48] 接收: 9415帧 | FPS:   4 | 已保存: 9414张 | 速率:  225.1 KB/s
[12:19:49] 接收: 9417帧 | FPS:   2 | 已保存: 9416张 | 速率:  224.9 KB/s
[12:19:50] 接收: 9426帧 | FPS:   9 | 已保存: 9425张 | 速率:  224.7 KB/s
接收超时，剩余 15744 字节
图像数据接收不完整，重新同步...
尝试重新连接...
尝试连接到 192.168.4.1:5000
连接成功!
接收超时，剩余 4 字节
连接断开，尝试重连...
尝试重新连接...
尝试连接到 192.168.4.1:5000
连接成功!
[12:19:55] 接收: 9427帧 | FPS:   1 | 已保存: 9426张 | 速率:  223.4 KB/s
[12:19:56] 接收: 9439帧 | FPS:  12 | 已保存: 9438张 | 速率:  223.4 KB/s
接收超时，剩余 15524 字节
图像数据接收不完整，重新同步...
尝试重新连接...
尝试连接到 192.168.4.1:5000
连接成功!
[12:19:58] 接收: 9442帧 | FPS:   3 | 已保存: 9441张 | 速率:  222.7 KB/s
[12:19:59] 接收: 9453帧 | FPS:  11 | 已保存: 9452张 | 速率:  222.7 KB/s
[12:20:00] 接收: 9462帧 | FPS:   9 | 已保存: 9461张 | 速率:  222.6 KB/s
[12:20:02] 接收: 9474帧 | FPS:  12 | 已保存: 9473张 | 速率:  222.6 KB/s
[12:20:03] 接收: 9480帧 | FPS:   6 | 已保存: 9479张 | 速率:  222.4 KB/s
[12:20:04] 接收: 9491帧 | FPS:  11 | 已保存: 9490张 | 速率:  222.4 KB/s
[12:20:05] 接收: 9497帧 | FPS:   6 | 已保存: 9496张 | 速率:  222.1 KB/s
[12:20:06] 接收: 9502帧 | FPS:   5 | 已保存: 9501张 | 速率:  221.9 KB/s
[12:20:08] 接收: 9505帧 | FPS:   3 | 已保存: 9504张 | 速率:  221.6 KB/s
[12:20:09] 接收: 9508帧 | FPS:   3 | 已保存: 9507张 | 速率:  221.3 KB/s
[12:20:11] 接收: 9517帧 | FPS:   9 | 已保存: 9516张 | 速率:  221.1 KB/s
接收超时，剩余 15588 字节
图像数据接收不完整，重新同步...
尝试重新连接...
尝试连接到 192.168.4.1:5000
连接成功!
[12:20:14] 接收: 9521帧 | FPS:   4 | 已保存: 9520张 | 速率:  220.4 KB/s
[12:20:15] 接收: 9524帧 | FPS:   3 | 已保存: 9523张 | 速率:  220.1 KB/s
[12:20:16] 接收: 9535帧 | FPS:  11 | 已保存: 9534张 | 速率:  220.1 KB/s
接收超时，剩余 15588 字节
图像数据接收不完整，重新同步...
尝试重新连接...
尝试连接到 192.168.4.1:5000
连接成功!
[12:20:19] 接收: 9539帧 | FPS:   4 | 已保存: 9538张 | 速率:  219.5 KB/s
[12:20:20] 接收: 9547帧 | FPS:   8 | 已保存: 9546张 | 速率:  219.4 KB/s
[12:20:21] 接收: 9551帧 | FPS:   4 | 已保存: 9550张 | 速率:  219.2 KB/s
[12:20:22] 接收: 9558帧 | FPS:   7 | 已保存: 9557张 | 速率:  219.0 KB/s
[12:20:23] 接收: 9565帧 | FPS:   7 | 已保存: 9564张 | 速率:  218.8 KB/s
[12:20:24] 接收: 9568帧 | FPS:   3 | 已保存: 9567张 | 速率:  218.6 KB/s
[12:20:25] 接收: 9572帧 | FPS:   4 | 已保存: 9571张 | 速率:  218.4 KB/s
[12:20:27] 接收: 9577帧 | FPS:   5 | 已保存: 9576张 | 速率:  218.0 KB/s
[12:20:28] 接收: 9581帧 | FPS:   4 | 已保存: 9580张 | 速率:  217.8 KB/s
[12:20:30] 接收: 9591帧 | FPS:  10 | 已保存: 9590张 | 速率:  217.7 KB/s
接收超时，剩余 532 字节
图像数据接收不完整，重新同步...
尝试重新连接...
尝试连接到 192.168.4.1:5000
连接成功!
接收超时，剩余 4 字节
连接断开，尝试重连...
尝试重新连接...
尝试连接到 192.168.4.1:5000
连接成功!
[12:20:37] 接收: 9594帧 | FPS:   3 | 已保存: 9593张 | 速率:  215.8 KB/s
[12:20:39] 接收: 9604帧 | FPS:  10 | 已保存: 9603张 | 速率:  215.6 KB/s
[12:20:40] 接收: 9611帧 | FPS:   7 | 已保存: 9610张 | 速率:  215.4 KB/s
[12:20:41] 接收: 9620帧 | FPS:   9 | 已保存: 9619张 | 速率:  215.4 KB/s
[12:20:43] 接收: 9625帧 | FPS:   5 | 已保存: 9624张 | 速率:  215.0 KB/s
[12:20:45] 接收: 9629帧 | FPS:   4 | 已保存: 9628张 | 速率:  214.7 KB/s
[12:20:46] 接收: 9631帧 | FPS:   2 | 已保存: 9630张 | 速率:  214.5 KB/s
[12:20:47] 接收: 9636帧 | FPS:   5 | 已保存: 9635张 | 速率:  214.2 KB/s
接收超时，剩余 9796 字节
图像数据接收不完整，重新同步...
尝试重新连接...
尝试连接到 192.168.4.1:5000
连接成功!
[12:20:50] 接收: 9646帧 | FPS:  10 | 已保存: 9645张 | 速率:  213.6 KB/s
接收超时，剩余 672 字节
图像数据接收不完整，重新同步...
尝试重新连接...
